"ResponseId","topicID","text"
"R_0AqV0iyoxN5T8Ln","fire_rescue","I guess I would save my hard drive backup. It contains most of my collected music, videos, and most importantly photos I've taken. It has 20+ years of my personal photography on it and I'd lose my mind if it all burned away."
"R_0AqV0iyoxN5T8Ln","mind_body","I'll take the 30 year old's mind, easily. I've seen many people grow old and develop dementia or alzheimer's and it is terrible and frightening and sad beyond measure. I don't have a problem if my body breaks down and I'm stuck in a wheelchair. If I can keep a nice young brain and good memories, i'll take it!"
"R_0AqV0iyoxN5T8Ln","religious","I'm somewhat religious. I believe it provides comfort to me. To know that there is something waiting for me after I die makes me feel less sick to live in this world."
"R_0AqV0iyoxN5T8Ln","friend_value","I would say I value honesty above all. If you can't be honest with someone, you can't trust them. If you can't trust them, they can't be a friend."
"R_0AqV0iyoxN5T8Ln","last_sing","Sometimes when I'm hanging out with my friends and getting drunk, I'll start singing a song but make it about the situation we are in. Like a very low quality version of Weird Al. I sing to myself every morning when I shower, though mostly it's humming."
"R_0AqV0iyoxN5T8Ln","garden","No, sadly I live in an apartment so no garden for me. I have a few house plants to liven up the place a little, but nothing else. I should probably look into getting one of those little outdoor spice rack things. I could put it on my little patio and grow basil and whatnot."
"R_0Cfn5ChBkLaF2SZ","strangest","The strangest thing about where I grew up was that there were too many old people. None of my neighbors were children growing up, so I had to play by myself a lot. Once I moved, I had the chance to make to friends."
"R_0Cfn5ChBkLaF2SZ","cute_baby","The cutest thing I saw a baby do was try to repeat bad words the mother was saying. Although it shouldn't have been doing that, I was very comical. I cherish that memory to this day."
"R_0Cfn5ChBkLaF2SZ","religious","I am not a religious person. I consider myself an atheist and have done so since I was 16. I except everyone else's spiritual beliefs, but it is not for me."
"R_0Cfn5ChBkLaF2SZ","fire_rescue","My laptop would be that item. I do all my work on it and would be lost without it. I also would have no money because I work online."
"R_0Cfn5ChBkLaF2SZ","friend_value","Loyalty is what I value most in a friendship. If I can't trust you, we can't be friends. Trust can be the strongest glue in a relationship."
"R_0Cfn5ChBkLaF2SZ","garden","I do not have my vegetation growing. I used to be very much into growing plants, but now I can't find the time. Do you have any?"
"R_0Cfn5ChBkLaF2SZ","like_work","I do data entry for work. It is better than most other jobs I have had. I just sit and type all day, it is pretty easy."
"R_0Cfn5ChBkLaF2SZ","how_raised","I would want to be raised in a more accepting family. My family is a bit homophobic, and I am not like that at all. Slowly, over time though, they are becoming more accepting."
"R_0Cfn5ChBkLaF2SZ","last_sing","I last sang to myself last night in the shower. I was blasting my speakers while washing my hair. It was a fun and refreshing time."
"R_0Cfn5ChBkLaF2SZ","famous","I would love to be famous. I would like to be internet famous and just post my thoughts all day and watch people respond. I would also love the countless endorsements."
"R_0Cfn5ChBkLaF2SZ","mind_body","I would want my look/brain to transfer to my old body. I would like to be 90 and living life. This, I'm sure is most people goals."
"R_0Cfn5ChBkLaF2SZ","why_studies","I do these online studies because, in all honesty, they pay me. I like to do work on Mturk, and it can be a lucrative job. Its all about answering questions carefully and honestly."
"R_0oZuKVylWIzZlWF","last_sing","I sang to myself earlier today in the car while driving to the supermarket. I love to sing along to my favorite songs, especially old hits from the '80s. I also love to sing in the shower when I am home alone. However, I have a terrible voice, so I don't put anyone else through having to listen to me sing. I honestly can't remember the last time I sang to someone else, and I feel sorry for anyone who has had to listen to my rendition of Whitney Houston's ""Greatest Love of All"". "
"R_0oZuKVylWIzZlWF","how_raised","That is a tough question, because really I think my parents did quite a good job at raising me. I suppose if I could change anything about the way I was raised, I would ask my parents to not work quite so hard to save up so much money for my college they way they did. I really appreciate it, of course, but in retrospect I think they could have had some more fun when they were younger and I could have gone to a less expensive, in-state state university and received just as good an education that way. "
"R_0oZuKVylWIzZlWF","famous","I would most definitely not want to be famous, in any way. I would much rather blend in with the crowd and not be noticed by random people I don't know. If I were to be famous for anything, I would at least want to famous for some intelligent idea I had or maybe for doing something good for the world, like finding a cure to a terrible disease. But I would not want people on the street to be able to recognize me and cause me grief. "
"R_0oZuKVylWIzZlWF","friend_value","I value most the honesty and trust that comes with a true friendship. That is, being able to share anything and everything that might be bothering you in any way, and not worrying about being judged about it or otherwise looked down upon because of it. I value being able to be open and honest and discuss your innermost thoughts or crazy ideas and not worrying that your friend will think you are weird or a bother. "
"R_0oZuKVylWIzZlWF","why_studies","I do these online studies because it's a fun way to pass the time and even make a few dollars while I'm at it. Sometimes I have a little time where I can't get too much done anyway, like when I'm waiting for my son to come home, or I have to go somewhere soon but I have a little extra time, so it's nice to be able to do these online studies instead of otherwise wasting time on the internet. There is a lot of variation in these studies which makes it fun. For example, right now I am doing a study where you have to answer a variety of questions in full sentences, as if you're having a friendly conservation with a friend. I've never done a study like that before, so it's a fun new thing to try."
"R_0oZuKVylWIzZlWF","fire_rescue","It's funny you ask this, because my husband and I ponder this question all the time, just what exactly would we save if we had to run out in a hurry? If I could only save exactly one item, I'd have to go with my main computer that has all of my important files on it -- or at least one of my backup drives, except those are kept in a fireproof box so hopefully they would survive the fire. Realistically though, if my house were on fire I wouldn't waste the time to try to disconnect my desktop computer to save it. I would probably just try to grab my wallet or at least my car keys. "
"R_0oZuKVylWIzZlWF","cute_baby","Well, I might be just a little biased here, but I would say my son did about the cutest thing I've ever seen a baby do when he was a little tyke, and that was to roll a ride-on car around the house by walking behind it as though it were a walker. What I mean is that he would walk behind the car, instead of sitting in it, and he would push it through the house from the back, and I was amazed at how well he could steer it like that just by pushing it. He never even ran into walls with it, which was pretty amazing. I always smile when I think back on him doing that, and it makes me hope that he will be a good driver when he learns to drive in a few years!"
"R_0oZuKVylWIzZlWF","strangest","I guess the strangest thing about where I grew up that I can think of is the fact that my house was part of a residential neighborhood, but on a surprisingly busy road. It should have been a quiet, local street, but it happened to serve as a shortcut from one busy road to a major highway, so a lot of commuters used this street and drove way too fast. Because of this, I remember my mom severely scolding me for not looking both ways before crossing the street on my bicycle when I was a kid. Of course it didn't seem strange to me at the time, but when I became an adult and drove back to see the old house, it struck me as an odd neighborhood because of that road being used a shortcut by so many drivers. "
"R_0oZuKVylWIzZlWF","like_work","Right at the moment I'm mostly a stay-at-home mom, and I love it. I do some part-time work, and sometimes some online studies, but mostly I am taking care of my family right now. I enjoy what I do because I feel it's important for kids to have someone there for them even after they start school. Neither my family nor my husband's family lives close by, so it just seemed to make more sense to us for me to devote most of my time to raising the family than working outside the home. "
"R_0oZuKVylWIzZlWF","mind_body","That's a tough choice, but I think I would have to say I'd rather retain the mind of a 30-year-old rather than the body. I mean, ideally I'd really like to retain both, but having a young body wouldn't do me much good if my mind deteriorates. However, if my body deteriorates, at least I would be able to rely on my mind and retain my memories, abilities, and knowledge. Plus, I'd look pretty silly being 80 years old and dancing around like a 30-year-old! "
"R_0oZuKVylWIzZlWF","garden","No, I really don't have any fruit trees, plants, or a garden because I live in a condo building. Well, it's really a townhouse, and I could actually have a garden here if I wanted to, but honestly I'm just too lazy for gardening. A lot of the older people who live here do plant gardens and have some beautiful plants, but I've really never liked gardening. There are trees here, of course, but I don't think we have any fruit trees in the area. "
"R_0oZuKVylWIzZlWF","religious","No, I'm not a religious person. I wasn't brought up believing in any particular religion, so being religious just doesn't really make sense to me. I do believe it's important to live an honest, moral life, though, and I do see how the various religious texts such as the Bible can help with that, but I interpret the stories of the Bible as written by people to explain their world and help them live moral lives, rather than as the ""word of God"". I am a bit spiritual in that I do believe there is some greater meaning or purpose to the universe than what we can understand, but I don't think we have made any progress to understanding what that is as of yet. "
"R_0rDoKt8iE35kPKh","strangest","There is nothing strange about that place. It is a lovely place where people care about each other. Neighbors are like family members who are always there for you. "
"R_0rDoKt8iE35kPKh","mind_body","I would want to retain the body of a 30-year-old because physical appearance has always been very important to me. I always make sure to take care of myself so that I don't look my age. Keeping a mind of a 90-year-old would be a benefit because I will be wiser."
"R_0rDoKt8iE35kPKh","friend_value","I value trust the most. I need to trust the person I am sharing almost everything with. Trust gives comfort in relationships."
"R_0rDoKt8iE35kPKh","famous","Yes, I would like to be famous. I would like to be known for my hard work. I work really hard and excel in almost everything that I do."
"R_0rDoKt8iE35kPKh","why_studies","I do online surveys to make some extra money. It is also a good source of gaining knowledge. I also feel as I am helping and contributing to a greater cause."
"R_0rDoKt8iE35kPKh","garden","No, I don't. I do not like planting really. I think it creates a mess. I love having fresh grass though."
"R_0rDoKt8iE35kPKh","last_sing","The last time I sang to myself was a minute ago because I love singing. It's my passion. I keep checking how good I have gotten at it. The last time I sang to someone else was a few days ago - to my boyfriend."
"R_0rDoKt8iE35kPKh","fire_rescue","I would save my laptop. It has all my pictures/memories. It has all my documents and work from years that I wouldn't want to be wasted and lost."
"R_0rDoKt8iE35kPKh","religious","No, I am not a religious person. I dont practice my religion. I do, however, try to do a good thing."
"R_0rDoKt8iE35kPKh","cute_baby","The cutest thing I have seen a baby do is trying to hold on to something. They think it is so close to them and they can catch it easily but they actually try really hard to do what they want to do with it. Them trying so hard and not giving up is so cute."
"R_0rDoKt8iE35kPKh","how_raised","It would be making me become more trustful of people. I always have trust issues and I think it makes my life hard. I do not trust anyone; I feel everyone has ulterior motives."
"R_0rDoKt8iE35kPKh","like_work","I work as a customer service agent. I like dealing with people from different backgrounds. It increases my knowledge and gives me a chance to see how diverse this country is."
"R_0v6jSmaRUSpWSNr","friend_value","I'd say I value honesty over everything else. I don't like when people have other intentions or skirt around things. Just be straight up with me regardless of the situation. "
"R_0v6jSmaRUSpWSNr","famous","I would never want to be famous. Famous people spend their lives being ridiculed and scrutinized. There is so much pressure from the media and the public. "
"R_0v6jSmaRUSpWSNr","religious","I'm not really religious though I do specify a religion. I feel like there's too much reliance on a religion for people to act sensible. One shouldn't need one to know how to treat others and the earth. "
"R_0v6jSmaRUSpWSNr","mind_body","The body for sure. At 30 years old you still have so much to learn and experience. I would want the wisdom of a 90 year old with the body of a 30 year old. "
"R_0v6jSmaRUSpWSNr","last_sing","I often will put what I'm doing to words and song randomly. I last sang to my daughters in singing along with their favorite television show. We often sing the songs together. "
"R_0v6jSmaRUSpWSNr","why_studies","I mainly do them for the money if I'm being completely honest but I do pick and choose. Sometimes a study will sound kind of interesting so I check it out. I like studies that have interesting subjects. "
"R_0v6jSmaRUSpWSNr","fire_rescue","I would probably save my laptop. I use it literally everything and document many things. I have so many lists, photos, etc. "
"R_0v6jSmaRUSpWSNr","how_raised","I think I would only change our financial situation. There were times we really struggled. Other than that, I think my mother raised us quite well. "
"R_0v6jSmaRUSpWSNr","cute_baby","One time my youngest daughter was crying. My toddler wanted to help console her so she did what she had seen me do. She tried to nurse her sister. I thought it was sweet and adorable. "
"R_0v6jSmaRUSpWSNr","like_work","I only work on Mturk right now. I like that I can earn money while caring for my daughters. Before I found out about Mturk we were struggling a lot financially. Now I can help my husband out. "
"R_0v6jSmaRUSpWSNr","garden","I don't at the moment but I hope to have one whenever we're able to afford a house. I want to grow herbs and aloe plants. I like to use them in hair care. "
"R_0v6jSmaRUSpWSNr","strangest","The neighbors were very strange to me. No one ever came outside aside from walking to and from their cars. I was used to other neighborhoods where people were much more social so this was a shock. "
"R_0VrnZ54RraGbTBT","like_work","I am a research chemist.  I enjoy being able to develop new products on my own and see them go to the commercial market.  I love going into a store and seeing something I worked on on the shelf.  I also enjoy the process of working through what works and what doesn't in order to get to a final product.  I like evaluating many different variations to see which one is the best."
"R_0VrnZ54RraGbTBT","religious","I am not a religious person, but I do believe in a higher power.  I think that belief in a higher power gives me passion to be more open to abstract ideas and beliefs.  I also enjoy going to church occasionally because places of worship are somewhere that you can let your guard down and really reflect on yourself.  I think that religion can offer people hope and compassion in times of need. "
"R_0VrnZ54RraGbTBT","famous","I would not like to be famous because I am a very private person.  I don't feel like I would enjoy all the unnecessarily harsh criticism that famous people face in the world today.  I wouldn't enjoy being in the spotlight because I don't want people analyzing my every move.  I also wouldn't want to have to worry about whether people are following me every day to see what I am doing in my life."
"R_0VrnZ54RraGbTBT","strangest","The strangest thing about where I grew up is how flat the landscape is.  I grew up in the Midwest and we really don't have any hills or mountains around us for hundreds of miles.  I never really knew what mountains were until I went on a vacation west when I was a kid."
"R_0VrnZ54RraGbTBT","why_studies","I do these online studies for several reasons, the first of which is I enjoy helping out people doing research.  I'm a research chemist myself and I really like helping out fellow doctors and scientists study human reactions.  Secondly, I feel like doing these research surveys is a much more productive use of my time as opposed to being on my phone or watching TV.  Thirdly, I find doing these studies intellectually stimulating.  I like the possibly of learning more about myself by the way I respond to these surveys.  "
"R_0VrnZ54RraGbTBT","fire_rescue","I would save my old photos.  I can always buy new things, but I cant get pictures back.  I enjoy looking through them every so often because it brings back such good memories.  Although the photos themselves aren't worth much, the memories that they remind me of are priceless.  I would also want to save photos because some of the people that are in them aren't around anymore and I never want to forget what they look like."
"R_0VrnZ54RraGbTBT","cute_baby","The cutest thing I have seen a child do is put their favorite blanket over their pet dog.  The child was outside when it was a bit chilly out and said that his face was cold so his dog must be cold since the dog doesn't wear clothes.  The child then put his blanket over the dog because he didn't want his pet to be cold.  It was so cute to see a child think about something other than itself."
"R_0VrnZ54RraGbTBT","mind_body","I would want to retain the mind of a 30 year old because I have seen how heartbreaking it is when older people start to lose their memory.  I would want to retain my mind because I would feel so frustrated and heartbroken to start forgetting who my family members are when I get older.  I have seen first hand the hurt of loved ones when a relative doesn't remember who their husband, son, niece, etc. is anymore.  I also wouldn't want to forget all the memories I have from my life because the good memories keep me going every day."
"R_0VrnZ54RraGbTBT","how_raised","If I could change one thing it would have to be being raised as an only child.  I am used to being alone and I think this has caused me difficult in making friends.  Being in social situations is a little taxing for me and I really enjoy having times to myself which isn't conducive to making friends.  I feel like if I had siblings I would find it easier to be outgoing to make friends."
"R_0VrnZ54RraGbTBT","last_sing","I sang to myself in the car on the way to work this morning.  I love listening to music during my drive and I sing along to keep myself occupied and as a stress relief.  I especially enjoy singing songs that I know very well.  I dont usually sing in front of other people because I am a pretty shy person.  Very rarely will I sing with my boyfriend in the car."
"R_0VrnZ54RraGbTBT","garden","I have several gardens around my home.  I enjoy changing it up every so often, but currently I have 3 different gardens.  My first garden is in the far back of my yard and is a wildflower garden with zinneias, sunflowers, cosmos, and bachelor buttons.  My front flower beds have several bushes along with warm colored marigolds and snap dragons (which are my favorite).  Finally, I have a vegetable garden on the side of my garage that has strawberries and tomatoes in it.  I really enjoy all of my gardens because it is so interesting to see something like a sunflower go from a tiny seed all the way into a plant that's taller than I am."
"R_0VrnZ54RraGbTBT","friend_value","One of the things I value most in a friendship is honesty.  I value honesty because I want friends that really care about me instead of people that just tell me what I want to hear.  I want my friend to tell me the truth so that I can possibly see things from a different perspective than my own.  By having friends with different opinions I can learn about new viewpoints and hopefully grow as a person."
"R_10A6WtGvA1tvTSD","last_sing","I sang a popular tune to myself. I heard it on the radio and I liked the melody so I sang it to myself. I last sang happy birthday to my friend."
"R_10A6WtGvA1tvTSD","friend_value","I value honesty the most. It is the foundation of all relationships, including friendships. It gives the relationship value and structure. It is the most important aspect of a friendship."
"R_10A6WtGvA1tvTSD","mind_body","I would want enough money so that I can travel around the world and do exciting things. I would use that body to go to many different places and meet new people. I would experience new cultures and try new things."
"R_10A6WtGvA1tvTSD","famous","I would not like to be famous. It does not give me any happiness. I prefer to be ordinary and subtle. "
"R_10A6WtGvA1tvTSD","strangest","My hometown is predominantly white, but the school that I went to was pretty diverse. The proportions of different ethnicities in the school were not representative of the town's population. It made the school more interesting and inclusve."
"R_10A6WtGvA1tvTSD","fire_rescue","I would take my wallet. It has all of my important information and items. I could take care of things more easily if I have my wallet with me."
"R_10A6WtGvA1tvTSD","garden","No, I do not have any of those. I do not live in a place that allows tenants to have plants. I wish I could grow some vegetables of my own."
"R_10A6WtGvA1tvTSD","cute_baby","I saw a child chase a puppy around a park. They were having a lot of fun. I found that to be very cute. It was a pure moment."
"R_10A6WtGvA1tvTSD","religious","I am not religious. I do not find any religion to be convicing. I cannot bring myself to believe in a god that is all good, omnipotent, omnipresent and omniscient while allowing the world to have so much cruelty and suffering."
"R_10A6WtGvA1tvTSD","why_studies","I do these studies for multiple reasons. I find them interesting and  I learn quite a bit from them. I have free time so I want to spend it doing something worthwhile. I also like the financial incentive of these studies."
"R_10A6WtGvA1tvTSD","how_raised","I would like to change the place in which I grew up. I wish I could have grown up in a different country. Maybe I could have lived in a different country for different parts of my childhood. I wish I learned about different cultures."
"R_10A6WtGvA1tvTSD","like_work","I am an accountant. I like the ability to work on my own. I like that I do not have to work with others for me to succeed. I like that it requires critical thinking in order to do well."
"R_10IpOQE8ZjEg7Bj","religious","Yes. I was raised in the church. I am a protestant and I believe in God, but over time I have somewhat amended my beliefs and I think I am not very interested in organized religion. I believe we all worship the same God and everyone around the world is seeking that through their individualized faith. "
"R_10IpOQE8ZjEg7Bj","garden","Not really. I've never been a good gardener or been a person you could say had a green thumb. When I was younger I wanted to plant a garden and ended up plating this wildflower patch that got out of control! But I love sunflowers. My cousin used to grown watermelons."
"R_10IpOQE8ZjEg7Bj","how_raised","I think it would be to be taught a little more about boundaries and how to love yourself first before everyone else. You see both my mom and dad were incredibly generous and loving people and I just grew up knowing you needed to help and encourage and support others. However, as an adult I feel sometimes I have been taken advantage of and I just have too much love to give and need to learn how to preserve myself better."
"R_10IpOQE8ZjEg7Bj","last_sing","You know it's funny but I grew up in a family where we would regularly sing to ourselves. My father would sing out, ""I love you"" to me all the time. Yeah it was great. But yeah I think the last time I was singing to myself was when I was working out and listening to David Bowie on Google Play."
"R_10IpOQE8ZjEg7Bj","strangest","I grew up in a college town. I grew up in Ann Arbor Michigan and it was filled with hippies and intellectual eccentrics. I suppose the strangest thing were our neighbors. The dad was a bearded professor that left his kid, Matthew, alone all day at like 5 year's old. He would come over to our house. His mother tried to overdose. "
"R_10IpOQE8ZjEg7Bj","cute_baby","I suppose it's when they elicit natural responses to the world around them that only a child can do. Such as responding with a smile or questions that come from a very pure place. It's observing their total, complete faith in humanity that is both mesmerizing and incredibly heartening at the same time. It's truly very inspiring."
"R_10IpOQE8ZjEg7Bj","why_studies","Honestly, I do them for the money. Some actually are interesting and you can really learn things, especially when they are put together by academics to investigate trending topics like global warming and environmentalism. I have even transcribed things where I learned a lot. I once did a piece on Obama's administration. It was really interesting."
"R_10IpOQE8ZjEg7Bj","like_work","I am the information liaison for open heart patients and their families. I love supporting and helping people. I have over 200 awards for doing it from the hospital I work in."
"R_10IpOQE8ZjEg7Bj","famous","You know it's funny but I kind of would. I'm a Gemini so I love the spotlight and communicating. Apart from the obvious perks, I just think it would be great to make an impact on the world like Kate Middleton. But I would love prancing around in beautiful clothes and living life with passion and excitement."
"R_10IpOQE8ZjEg7Bj","mind_body","I think I would want a spouse with the same virtues! I would want to travel a lot and I would like an eclectic mix of friends of all ages and backgrounds. Ultimately I would like to be living in Europe."
"R_10IpOQE8ZjEg7Bj","friend_value","I value consistency and honesty and a shared perspective. I can't stand being friends with people who don't really hold the same values as I do. Such as a commitment to excellence or an appreciation of art and beauty. Otherwise people just drag you down."
"R_10IpOQE8ZjEg7Bj","fire_rescue","Mm that is a hard question. I suppose I could say family photos or something I wrote. But I think it could also be some physical item of adornment. You see I love beauty and certain things I have collected have incredible memory for me. I think it would be my sterling silver pearl necklace from Tiffany's that my father gave me."
"R_10oRJayHgYdtBfo","last_sing","Oh, I'm a terrible singer! I do still sing along to songs in private though. Just yesterday I was singing along to a Taylor Swift song. I never sing in front of people! I'm too embarrassed! "
"R_10oRJayHgYdtBfo","fire_rescue","I don't think there's anything I would save. Besides my loved ones and pets, I don't have too much of an attachment to other items that I own. I would be fine with just replacing them. "
"R_10oRJayHgYdtBfo","strangest","Strangest thing? I don't really know. I don't consider anything about where I grew up to be strange. I feel like it was more or less your typical neighborhood. "
"R_10oRJayHgYdtBfo","like_work","I'm actually unemployed right now. I've held a few jobs in the past. I worked as a copy editor for my university's newspaper and more recently, I worked as a data entry clerk. I enjoyed both of those jobs because the work environment was great. The people were friendly and the environment made me feel comfortable. "
"R_10oRJayHgYdtBfo","friend_value","I definitely value trust. I want to be able to tell my friend private details about my life without having to worry about her telling other people. I also value kindness, loyalty, and dependability. "
"R_10oRJayHgYdtBfo","why_studies","I do online studies because they help contribute to scientific research. I also enjoy the fact that I can earn money from the studies. The money might not be much, but I am happy with the amount. I also like that I can do them from the comfort of my own home. "
"R_10oRJayHgYdtBfo","garden","No, I don't. My dad loves gardening though. Every summer he plants seeds and grows a vegetable garden. He has a PhD in agriculture, so he has a bunch of knowledge about growing vegetables. He loves gardening!"
"R_10oRJayHgYdtBfo","cute_baby","I've seen a child pronounce a word incorrectly. It was pretty cute. She pronounced ""spaghetti"" as ""psgetti."" I think there are quite a few kids who make this error, but yeah, I find it to be cute. "
"R_10oRJayHgYdtBfo","how_raised","I moved a lot as a child. It was difficult because I had to leave behind my friends. I'm also very shy, so it was difficult for me to make new friends. I think I would change the moving around so much. Instead, I would have liked to be settled into a good, safe neighborhood. "
"R_10oRJayHgYdtBfo","religious","No, I'm not really the most religious person. I mean, I believe in God, but I don't consider myself to be religious. My family is Muslim, so I consider myself to be Muslim as well, but I don't really pray or partake in other religious activities. "
"R_10oRJayHgYdtBfo","famous","I don't know if I would. I feel like if I was famous, I would be scrutinized for every little thing that I did. I think it would be cool to be famous in an academic sense though. Like, being written about in textbooks would be cool! "
"R_10oRJayHgYdtBfo","mind_body","Oh, that's a tough one! I can't really decide. I mean, it would be awesome to have either. Having the mind would be great because I could avoid memory problems that occur with old age. Having the body would be great as well though because I would still be able to travel the world and do a lot of exciting things. "
"R_10PkcFVr2L5SojO","fire_rescue","I would save my pictures. I have a lot of pictures of people who have passed. The pictures hold a lot of memories  for me."
"R_10PkcFVr2L5SojO","like_work","I work from home doing surveys. I really like the convenience of not having a commute. I can also pick what hours I work. I love it!"
