"prs_ResponseID","course","planSPELL"
"R_0PbrN3klCRmANMZ","BioChem","as a clinical biochemist I would like to use innovative methods to teach biochemistry || I have to find time to go in a step wise manner so that I don't fall behind I believe I can manage and find relevant solutions to the obstacles "
"R_0rKrBRUJZpzvxkd","BioChem","At home or at the library || I will allot time each week to the course I will respond to obstacles as appropriate making sure that I complete the coursework. "
"R_0rpSspZqStnqdeZ","BioChem","Work at every free opportunity and stay diligent || Continue to complete the work || Stay focused || Finish in time "
"R_0SAZQO0Exy9zu1j","AmGov"," I will start this course in my house and finish it in my future dorm room. || I will set aside approximately an hour 3-4 times per week for this course. Though I will be busy, I am sure that I will be able to make the time to work on this course."
"R_0TycbXMmzjBHewl","JustS"," I plan to study during the time I go to work or workout in gym || I registered verified course "
"R_0U4slddfV0EsKGd","JustS","Evening, home || Time schedule, deadlines "
"R_0URquoMpa4uKa9b","JustS"," I will use every extra free time I have, depending if others at the top of my list before this course are done or cannot be done at the moment, || I will finish this course no matter what, and will wait for it to go back online if I go past the deadlines, so I can participate in the class again. "
"R_0v2OYtxHawImfF7","AmGov"," I'm currently living in Vienna, will be visiting friends in Germany in October, and will then be traveling thourough SE Asia, so planning is going to be difficult. However, 3-5 hours per week is not a lot, so I don't think it should be a problem, especially if I'm enjoying the course. "
"R_0VOHZebdatbAflz","JustS"," study when i have time "
"R_0vVasqC2fcNPNIJ","JustS"," residence || study || hard work || hard work"
"R_0xHjOm0zXewFnfL","JustS",""
"R_10DvH6YawLUz85P","JustS",""
"R_10HlVYGBrJlbq6l","BioChem","Watch videos at least twice - first time with no attempt to answer questions, just listen to content to get feel for entire lecture. || Don't freak out if activities aren't supported by ipad - not going for a grade, just the learning experience || Work on course daily || Take notes on video - I was most successful in the on-line course in which I did this"
"R_10I6HYFVFV7ebxL","JustS"," When I do not have college hours, mostly in the evening. || Read everyday for one hour || Ask my professors in my university "
"R_10NobNbjE2Kh8Ow","AmGov","schedule my time to go over the materials every other day || ask good questions || be persistent || be motivated ( think about how I apply the knowledge I learn to my work)"
"R_10NpWXakMS3R7Rl","BioChem","I plan to spend two days each week (3 hours minimum per day) at home.I am also taking another course that is being given at the same time. I am glad this course is self-paced. || I am a highly motivated person. I plan on viewing all course videos, reading the transcripts, answering all quizzes, etc., to the best of my ability. If I am unclear of a section, I will read the recommended textbook, watch any available related KHAN Academy videos, and watch the course videos again. In addition to study plan 2, i will participate in the Discussion Board, reading any relevant comments, and if i have a new question, i will write it in the appropriate section, such as on the same webpage as the video. "
"R_10oela9ht8TnWtP","BioChem","I set aside every Monday evening for study, plus any other time needed, mostly weekends. I need Monday night for wifi access, to download materials. || I take copious notes and have a system for reviewing and memorizing information. I will use online forums and online information to try to fill in the gaps in my knowledge--especially of chemistry. I successfully completed a course in proteins recently, but in general have much to learn about chemistry. "
"R_10pkUE2kZERQ7ax","AmGov",""
"R_10qHzcQEqNW6lr8","BioChem"," I plan to review the course content and work towards the completion of all units on a daily basis. || I plan to outline the course requirements in alignment with the timeframe allotted for completion to be sure I stay on track with the progression of the course. || I plan to involve my homeschooled children in some learning activities to increase my understanding of topics by passing on the information learned as well as involving them in the learning process. I believe this will set a positive example for them as well as improving my success. || I plan to integrate everyday learning and immersion into the material at hand by additional reading of related sources. "
"R_10qMqg8OlB1IXTV","BioChem"," I plan to spend time engaging in this course at home or in the library, during my afternoons off or during the evening. || I will make sure I complete the coursework by making a scheduled time table and checklist and sticking to it. I will respond to obstacles by making sure I fit in time to study the course and continuing to motivate myself by remembering the initial reasons I signed up "
"R_10Tn3QwYWyQ2eYr","BioChem","watch the videos on the weekends at home || Include in the schedule of the week some time to study || Be focus in the goal (finish the course) || complete the subjects looking for additional material "
"R_10vdPzAZyTzbTDT","JustS","Regular study sessions with my friend. "
"R_10VJCF85Ks8omJY","BioChem","I will work in my house at nights in job days and all day in weekends || I will download the book and study by myself "
"R_10YI3bGP3ZQPfhV","AmGov"," I plan to study mostly at home || Using my tablet and a notebook "
"R_10ZRMn8N4JADerl","JustS","i will be studying at home || I usually have a routine that forces me to study || I will adjust my schedule as needed to any problems or interruptions "
"R_1100ycLoix5Rvss","AmGov"," I live alone in a one bedroom, so I have space and quiet to study || I work from Monday-Saturday and plan on studying on Sunday || I can knock out readings quickly if they are on my ipad. Lunch or breaks at work. || By letting time solve the issue. By planning ahead to avoid time crunches. "
"R_110kYJf54JXjKZ7","JustS"," Study in my home and at the library || To complete things early || With perseverance respond to obstacles || Studying using visual aids"
"R_11b7XTDxmQtqosz","AmGov","when and where - in my home office during afternoons || specific steps - staying on track with class schedule || response to obstacles - will do the best I can! || i have finished about 10 EDX classes to date - lessons learned from them "
"R_11bGQKfZOhWs7Y7","JustS","Lunch hour plus an extra hour after work "
"R_11bgtHBqRCKbRhn","JustS","Home during weekends "
"R_11bzNRZfn9R2OlK","JustS","I have identified dedicated time blocks to devote to class assignments and activities. || I have committed to completing the course materials and have recognized the importance of doing so to honor this commitment to myself. || I will remain flexible in moving forward to ensure that life events do not preclude the completion of my objectives relative to course completion. "
"R_11iHPaCkyyvEvhA","BioChem","rotate my classes, I am in many classes, most I take them to be acquainted before actually dedicating myself, for biochemistry (with Harvard), I have watched many of Kevin Ahern lectures on youtube on the subject and I really enjoy it. || I have had some obstacles, academic ones, which mandates review and more review, for instance the difference between enantiomers , stereoisomers, ampipathic, zwitterion , and newly-learned (HarvardX - MCB63X) Eclipsed-Conformation versus Staggered Confirmation, I understand the ideas, but making clear distinction maybe challenging. || Your school is among the top in the world, it is my intention to do my utmost || spend more time on the material and post questions in forum.... the professor Alain Viel is superb, I had posted a question about entropy of the universe (2nd law of thermodynamics) and the tendency of life to build every more complex structures, this question has been on my mind for almost a year, and no sooner than I had posted the question, I listened to the next lecture and Professor Viel answered it head on... amazing ! "
"R_11jUh3WpSpX4VwL","BioChem"," Lehninger and Berg's Biochemistry textbooks || Discussion board || Wikipedia || Google "
"R_11XAISYYD08SEWw","JustS"," I have completed many of these courses already so have planned appropriately to complete the course. The only thing I can't plan for us just not understanding it as it is totally new field of subject for me. "
"R_11Z3t7ZV7bTDFpT","JustS","I am planning to spend time on the course at home, during the holidays. || I will do 3-4 lectures a day, and do background reading in the evening. "
"R_124RQcmFwbwhAzc","JustS","At home, at my desk || Set aside portions of my time to do the work || Rigorous internet research || To continue the things I've learned in ethics class "
"R_125bG4N7AEoJuYL","BioChem","I must commit to finishing this course. Setting aside time for solely this course. || I will use the online community to assist me. I will go to a coffeeshop or a library if I am unable to focus in my home. "
"R_128OYbPOe01gUw6","BioChem"," Study one hour in the morning before work starts. "
"R_12EiBdttUQZwtfH","AmGov",""
"R_12fKdDRVeHBgskz","AmGov"," at home during evening hours "
"R_12kTfREyBd1Oacr","BioChem"," Listen to each lecture twice. || Take my own copious notes with drawings and color coding. || Focus on what I don't understand until I do. || Put aside two hours or more each day to devote to the course."
"R_12L1UQhdvnSeNal","JustS"," Sit down for at least two hours every week and go thourough the lectures, at home. "
"R_12LtFHhBnknNNNC","AmGov","I mainly plan to accomplish my coursework at home during the weekends, as well as Mondays and Wednesdays. I am a full-time high school student, but luckily I have some significant breaks in my schedule on these days that could allow me to focus on this course. I'll keep track of what assignments are being posted when, and will always attempt to finish them on the day they are assigned (or the first day I am able to work on them). Obstacles, unless school related, will be overcome, most likely by compromising the obstacle rather than the work. || I have also considered accomplishing my work at the community college where my Monday-Wednesday classes are held. Under this approach, all that would change would be the location of my work. "
"R_12na8BUITRst1Ka","AmGov","Spare time at home and at work || I will make sure I complete everything in this course. If I encounter any obstacles, I will log off for a day or two and then come back later. "
"R_12onQmHdM26ehKH","AmGov"," Swap out an hour of netflix in the evening for study || using lunch breaks using time on the weekend"
"R_12RV97AMz7TWSNK","JustS","I have many hours when I am free so I shall work then || Finish off in school "
"R_12u3qoU8zurwpvN","JustS","Evenings studying || Going thourough the readings || Watching the videos || Engaging fellow students thourough the forums "
"R_12uy91cCKpsADFM","AmGov"," During school, after school I plan to spend time on the course. || Start slow, understand and research. || If having trouble/want discussion, talk to AP government teacher. || For obstacles, replete motivation/restate why you're doing this. "
"R_12xJfyClmjpkSOK","AmGov"," This will be my first activity of the day || I have a quiet study environment at home in order to concentrate || If I am struggling to understand a section I will research it or write down and/or ask questions || I will organize all of my work in appropriate folders so I do not feel overwhelmed "
"R_1BOPwLCXp1iIgV6","JustS","At school with a highly educated teacher. || At home with proper time set aside. || With the help of my parents. || Time set aside at the school library. "
"R_1BOSaBUcj7zrkMD","AmGov"," Study on my own space and time. || Inform my family so I will not be interrupted. "
"R_1C1LqfOJzqDQ5cs","BioChem","At home, or in the library || Will be done every weekend or in my day off, after morning tea || Will respond to obstacles by pen and paper; if difficult, discuss online with peers || Will be regularly on the site as I work with an Internet connection as well "
"R_1C7IjwQrOcgBXRx","JustS"," I'm just going to watch videos, answer the polls and do the quizzes. If I do well is not a big deal because I have enough going on in my courses at the university I'm enrolled in. I'm just here because I have an interest in philosophy. I'll do what I can. "
"R_1C8b2O5gbjE5lVu","BioChem","AT WORK AND HOME || I WILL MANAGE MY TIME IN SUCH A WAY THAT ANY FREE TIME I HAVE IN BETWEEN MY LESSONS I WILL MAKE TIME TO GO THROUGH THE COURSE I WILL USE THE DISCUSSIONS TO AIR MY PROBLEMS "
"R_1C8fH4Fxg1yYwPM","AmGov"," in my office || reading the material handle them as they arise"
"R_1CCNPKdVNzSLSGR","AmGov","Evening work and downloading materials for review during air travel || Saturday Morning and Sunday Morning || Utilize other resources to help round out the presented materials || I have contacts with experience in State and US government areas"
"R_1Cd5VFLV6Q2GivV","JustS","I have planned the specific day and time I'm going to dedicate to the course. || I have a plan B if I could not study the day I have planned to do it. || I have planned to do the course in the order it proposes. || I think I will search more information according to each topic. "
"R_1CdryNiVHvOAjxt","BioChem",""
"R_1CEddAZAYhGFZNf","BioChem","Engage in studying during my free time at night || Weekends will also be a great time to study Internet will probably be the main resource "
"R_1CfFpDax3MWPnkt","AmGov"," Reserving enough time to do the course "
"R_1CHCDeARbVbiC1Z","JustS"," Am retired so I have time || make adjustments to my reading schedule to delay finishing Ferguson's biography of Kissinger "
"R_1CInFI5KARQDkVZ","BioChem","At home every day "
"R_1CJwCfPq0R0YXi3","AmGov",""
"R_1CKgoHtIPfTbuw2","JustS"," Monday, Wednesday and Thursday at my house because these times i will less busy || I read about law and justice before. I trying to purchase books in collaboration with this course. || I plan study by night and this time suit me to the best. "
"R_1cSYc5Ub4ouBf8B","AmGov","Plan to incorporate this work into my normal homework schedule || Set reminders on Google Calendar for deadlines Build a schedule around the course "
"R_1cT8xp3HHK9JINt","BioChem",""
"R_1cV4g5QzbHzIKG5","AmGov"," In my dorm room/in the library/in the academic building on campus || I will get the work done on the weekends if possible, since I have Davidson College courses to work thourough each week. If I run into an obstacle such as not having enough time, I will reevaluate my schedule or work on a little bit of the course each day. "
"R_1CxbQtklv9DfQM5","JustS","I plan to go thourough the course material at work || I'll follow the course material || Certainly I won't pass them by "
"R_1cY7bNwcB6fDQHf","AmGov","Study || Read || Remember || Testing "
"R_1d0wzB7k55GHN5n","JustS","one night a week for a few hours and saturday mornings || placing edx night in my calendar so i don't overplan || going to gym in am so as to have full evening to complete edx class "
"R_1d51ozWlQJ6IsL4","BioChem","Home and work at break time || make time available to study the course materials as needed "
"R_1d5H8LnGrzg5L84","BioChem",""
"R_1d5LjENnkvyGOiG","BioChem","do coursework every Sunday || spend at least one hour a day studying (here, GRE, language, reading) "
"R_1dai15OCIEJXISf","BioChem",""
"R_1DCjQL9su05SIk6","BioChem"," Study every day. Get familiar with concepts. || Research terminology and google || Use online forums for QA and help from TAs /instructors || Buy required textbook for biochemistry for quick reference"
"R_1dGCkzwQvLuf37b","BioChem"," After work at night. || During the weekend. || During holidays. || Whenever there is enough time for studying."
"R_1dH1ZXZ93Uf555i","JustS"," I plan to leave a couple hours a day to study alone in my room. || If I come to an obstacle I will stay calm and think of possibilities to overcome that obstacle. || I will make sure that my friends and family know that I am enrolled in this course so they can be supportive. || I will remember how lucky I am to be able to take this course in the first place. "
"R_1DHguH2BObT01Pa","AmGov"," on the tube while commuting, during the weekend || plan it in my diary || additional research, contacting the help team "
"R_1dHqgrp6TxzNhj4","JustS"," Read assignments during commute to and from work || Two lectures per week. At night or Sunday or during my lunch break || Obstacles- do my best to make it work. Don't know yet if anyone is here to support me or to what extent. "
"R_1dHvikBf0dG91ba","BioChem","at work on my down time and at home after work || setting a reminder on my phone to look at the site every day || I don't know how I will respond to obstacles, depends on the obstacle I suppose || Tell others so I have some kind of accountability since I don't have a teacher to remind me"
"R_1DIuliDrxcJOs0J","AmGov",""
"R_1dLIEwju1npxEpF","JustS"," As a recently retired person, I have the flexibility to arrange my time with fewer interruptions. I plan to devote 1-2 or more morning hours per week to completing the course. || I plan to review the course syllabus frequently and adjust the time spent on the various units as needed. || Obstacles are inevitable but I will continue to work toward my established goal and ask for assistance if needed. "
"R_1DNj0Ov0X3JdOAI","JustS"," Weekends || Some evenings during the work week "
"R_1DNloTEKwPyCUQX","BioChem"," learning a bit every day "
"R_1Do1nTZzX0KonBO","AmGov"," I plan to access the course at home when it is quiet. || I will log in daily and spend at least 1 hour a day on the coursework. I will keep moving forward if I encounter obstacles."
"R_1DOUmDYcniejvRV","BioChem"," mostly at home || try to fit in coursework between studying for other exams and commitments || unfortunately, this course isn't as highly prioritized as my other formal classes, but when I have the opportunity to study, to do so. || At least for my formal classes, I try to schedule study time for each class daily. "
"R_1dpi8bDKtMsgOK0","BioChem"," I have about two hours to spare during my day, I plan to complete the course during my spare time in my room. || I already have a studying plan I follow every day and I have a two hour gap where I take this time for myself. I will now try to use those hours productively into completing this course. I will try my best to understand the content of this course. If i face an obstacle, I will look for other sources that may help me comprehend what is needed to be done. "
"R_1DpYCNlhUbaNrLE","AmGov","I will take this course in my house after my school hours. || I will do everything that's required of me and I will also read about the subject on other websites and books. || I will consult a teacher or a parent to help with certain obstacles || I will also ask help from librarians if needed "
"R_1DqWkiX9n5WGubV","JustS"," I plan to spend time on the course at the weekends. || I will calculate how much it takes me to finish each lecture and manage my time accordingly. "
"R_1DS74GdsEQrygKW","BioChem"," i'm on break so i plan to watch like 2 videos a day on this course "
"R_1DTjKNohBwcn5fQ","AmGov"," I will just try to stay on top of the material...nothing complicated || Study after work "
"R_1dtr66mUZJe6jsN","JustS"," I will invest my spare time when the rest of the family is out of home. "
"R_1Du47Hd7rZLstxR","BioChem","I will study at home and during my free time. || Watch the videos, study the slides, and read the material. With resilience. Study the material I do not understand or may have gotten wrong with the intent of doing my best to try and understand it. Move on from mistakes with the purpose of doing better next time. "
"R_1duzHyWzZWFfkgM","BioChem"," I aim to finish this course before the end of September, when my college term starts. || I will devote 3 or 4 mornings, each between 2-4 hours, to the study of this course every week. I will first go thourough Unit 1 (and possibly the first part of Unit 2), in order to get an idea of pace of the course and the amount of time I will need to spend on each section. These will enable to me make a study plan so that I could finish the course well before the end of September."
"R_1DVhoygN5NZRnVz","AmGov",""
"R_1dxYMkEPQc340oV","BioChem"," I plan to engage my course content in my research activities || I would count the time required for my course in my schedule I would try to sort it out by myself"
"R_1DYbPRJnYlEYf9U","JustS"," in the morning and in my work , because i have a time in morning before starting my work "
"R_1DYnw8dHv1GRdKl","BioChem",""
"R_1DZ3McYyo7SDLW1","BioChem"," To spend adequate time on the course material || To approach the discussion board to clear any doubts To do extra research"
"R_1dzh6EF7bkPB197","JustS",""
"R_1E0sjqykrKGAD3L","AmGov","Listen to lectures during commute || Read before work in mornings || complete quizzes when possible - mornings, weekends || learn what others think of US government in fora"
"R_1E53WykQFSJOSid","AmGov"," Home || Use the resources’ that are available. || Read and study as much as I can. || Try to understand the obstacles and go to different sources to obtain this information that I need. "
"R_1E5tV5YSci7dSih","AmGov","Every Monday and Tuesday for 2-3 hours. || I will focus on reading and lecture before discussions. I will take the tests and quizzes on Sundays. "
"R_1E9ZLQGnFPwVtwV","AmGov","My spare time will be used to engage the course content || i will make the best use of my time and maximize on the materials provided. obstacles to me is the seed for progress. there is no excuse for failure "
"R_1EasMCZEpazUhRw","BioChem","After university /work in the evening || At home for 1-2 hours television and internet distractions – a lot specific times for work "
"R_1EbaTd87Og6AAna","BioChem","I will study at home, in a quiet space, with no distractions. || I will study every night || I will review course material every week || I will search the Internet for help when I don't understand something "
"R_1EbnyOEV3zJsDhb","BioChem"," I plan to spare two hours per day for this coursework. "
"R_1eEHoA2hjXqoVMQ","AmGov","Spend one day a week with the material. || Complete the quizzes. || Watch the lectures and take notes. || Read the readings."
"R_1eFf2MF8IaK2HGl","JustS"," I intend to engage the course at dawn with less noise and distractions. || To make a habit of making daily progress on the courseware. || To spend time examining these obstacles and how to get pass thourough. "
"R_1eJIB6bgOJ0Pmwg","BioChem","At my computer in my home office. || Do some work each day. Overcome obstacles by increased study online. "
"R_1eM2TgVEHkpbNr1","BioChem"," Plan to visit regularly. || Study || Have my note and everything ready. || Keep motivated because I am taking Biochemistry intro course in September"
"R_1eM2xbhx4BbWPBb","BioChem","I plan on working at home in the evenings. || I plan on working at least 3 nights a week. "
"R_1eQbEAoxxNTFq6Q","JustS"," Plan to spend time at my computer at home some weeknights and definitely weekends. || Will respond to obstacles my reviewing course content, writing out ideas and participating in online community. || I will set a goal of completing a certain amount of course material per week. "
"R_1eqq8u6n4myu6bF","BioChem",""
"R_1etqDmtEKsGmxCY","BioChem"," I plan to work at my computer, at home, during the day. || Setting specific goals should help keep me on track, ie finish each unit before the next one is released. || If I run into time constraints one week, I'll try to streamline tasks to keep up || If I don't understand a concept, I'll review the materials, read a textbook or ask for help in the discussion forum.."
"R_1eUKgfH1XtivIGm","AmGov"," home || scheduling specific times "
"R_1eVlAGX1ujtnDvz","JustS"," decision to complete the course || discipline in my decision || engaging the course content at home, relaxed and with great enthusiasm || I will overcome the obstacles"
"R_1eXiJ7RLi7jlkQe","JustS"," I plan on taking the course at home. || I will dedicate 2-4 hours every weekend to finish up the week's course content. || If at all something comes up then, I will substitute to study the course material during a weekday. "
"R_1EXJnFtS3SaOz3L","BioChem"," complete a portion of a lesson each day after work || when obstacles arise, allow myself to be flexible || ensure that I watch at least one video each weekday || give myself weekends so I don't over-stress"
"R_1exjwj5otcfJ6OO","JustS",""
"R_1EZJMegMzy155yj","BioChem","Every night for two hours after work || Every weekend for a total of four hours || Review videos every day || Review forums every day"
"R_1f1OFenlI7wUmai","BioChem","Home after work || Scheduled study time Engage in the course objectives "
"R_1f2j8J9xCkEJwrV","BioChem","In bed (with young-onset Parkinson's and recovering from spine surgery #4). Limited mobility is fantastic for taking online courses! || I study at all times of the day and night, whenever I have the energy to stay awake. || Two of my best friends are my Parkinson's neurologist and a retired chemical engineer friend. || Red Bull. But my Parkinson's neurologist is thinking of putting me on Ritalin or similar, as I complain about the fatigue so much and how it interferes with all of my online courses. ;) "
"R_1F4dZFVsCI4omYJ","JustS","have read many of the sources already "
"R_1f6Em1YQlkxZaiW","JustS"," in the office in spare moments || do not anticipate any major problems "
"R_1F8JhcdVlqWW5E6","JustS",""
"R_1F9g1sWIbWKlkJH","BioChem"," Whenever I get time "
"R_1f9jmturceq1l8H","BioChem","I will try to finish the course as much as possible in summer time. || Spend at least 1 hour daily on the course and 1 hour in studying the material so that I do not burden my capacity of understanding. If any obstacles encountered, I will try my best to first cover that up and then go further with the course, and I will not stress a lot. "
"R_1f9N2DGelD7d0I1","BioChem"," I will study from home and regularly go over materials "
"R_1F9udE8B98aE50I","BioChem","I will dedicate a set amount of study time each day || I will take notes when appropriate I will seek out other resources "
"R_1FaIvsGBOtgQYFR","AmGov"," I think I'll be doing most of the work at home. || I'm planning on finishing the assignments as fast as I can, so that they don't interfere with the time destined for any other task. Depends on the obstacle, but I believe I'll ask for help to any of you guys."
"R_1FbxXzuFvbihNsl","BioChem","I plan to spend time at my desk engaging the course content as that's the place I associate with focusing and it means I am less easily distracted. || I'm in my summer holiday so time is no issue Any response to an obstacle depends on the obstacle "
"R_1FDhUoAq2iRkcOr","BioChem","a) I will do it every day for a couple of hours. / || b) I will most likely do it at home. || c) I can check with my parents to make sure I am completing the course material. || d) I definitely have people around me I can ask for help. "
"R_1fecLvJsxjczzPr","AmGov","My study plan is daily dedication || Dedicate the necessary time and enjoy learning If I meet some obstacle, I will seek assistance from other classmates and teachers of the course "
"R_1FewKwqBfxhgZLb","BioChem"," I plan on spending 4 to 6 hours a week to study the work - with approximately 3 hours per day (Tuesdays and Thursdays). / || I will stick to my weekly schedule, as well as go over the course material in my own time to ensure that I remember the work effectively. || I will ask questions when course material is not understood and do my best to ensuring that I follow thourough on the work."
"R_1FFBkYahQbi2Tzb","AmGov","An hour each day after work "
"R_1FG7syC8K0Pcs2E","BioChem","Evenings/Mornings at home "
"R_1Fh5W2OOEL7nB28","JustS","I intend to spend time between work and family duties, voluntary work and sleep || I will take every step necessary to ensure that I complete the required coursework. Make time, study in the evening hours or at weekends when I can make the time. || I will work around obstacles, either study later in the evening, more condensed and concentrated, or, in case of sickness, study harder afterwards. "
"R_1fm9G9lctoeC6pZ","BioChem","Free time at work, Weekends and evenings || Allocated time every week If there is an obstacles, I will try to find the best fit solution. eg. if it needs more detail information, I will go for textbooks and online information. It is time, I will compensate it with relevant work I am doing. "
"R_1Fn7fYd3TMEVlNx","BioChem"," on my computer at home || take notes on videos || make flashcards to aid learning || read biochemistry texts "
"R_1FnsEuJTezt8utF","BioChem"," i plan to spend time at home quietly || i plan to revise daily and make other research on the internet to figure out the course and i also intend to get help from my teachers if i had obstacles i plan to go thourough them and learn from them and never give up"
"R_1FP2WsDsztFcEVO","BioChem","I plan to study the course material mainly at home after other work that I must do over the summer, dedicating around 8 hours a week. I will make sure I complete my Pre-Calculus summer work in a timely manner so that I will have sufficient time to spend an hour a day on this course. || I will look back at the videos or otherwise research any material that I did not quite understand in order to keep moving forward. "
"R_1FsnyHFAXLV7TD7","JustS","I'll be going thourough the content on weekends- specifically on Saturday and Sunday mornings. || I plan to make a calendar on my mobile for assessing my course progress. "
"R_1Fx5cExKHROY3ZB","AmGov",""
"R_1Fy0iAxLdQKKYt4","AmGov","during week days || set out a specific time "
"R_1FyXJSi0hXmpkRs","AmGov","I will include this as part of my weekly course completion routine "
"R_1fZOD8Zus3yavQh","JustS","I plan to study weekly in my house "
"R_1g28CePmfBVjPEX","BioChem","I hope to set aside time each day to review the material during the summer and may have to go to weekends once school starts. "
"R_1g5Bx5BooN11tK5","JustS","Study at home, before or after usual working hours. || Study at work in the event of a cancelled meeting or court appearance. || I feel that one must just keep chipping away at the course in order to reduce the load. Once you have gone past a certain point it would be a waste to stop. || Engage with American colleagues in friendly debate. "
"R_1g5fixMwpGzTnG1","JustS"," Download as much material as possible when internet is available so can work offline || Use days off to work || Do reading for the course instead of reading fiction "
"R_1gApzEIXPyct2H9","JustS","when: after dinner and after other schoolwork || where: in a quiet place, like my room || stay on top of the material, do some extra reading about the material || look back at old material and catch up if I have missed anything "
"R_1gbi9FEzuGh0hnx","JustS","At home while my daughter is at school || writing myself a weekly timetable including self dictated deadlines for work completion "
"R_1gcC9QkOW1e4oZy","AmGov","Commit 1-2 hours every day, 5 days a week for the course. "
"R_1GDDTEidMMvfZCH","JustS","At work and at home || Put aside time every day || I will review and analyze my issues "
"R_1GDGgdBsHlOeMus","JustS","At home, before work "
"R_1GE9lJ5QSOLJZ5v","JustS",""
"R_1GHaZJ3vpeTvL92","BioChem","I will study in my room and view all the course in my computer || I will simply google the things that i don't now || Just, complete the coursework, it is not that hard... || Study when i can and have the energy to do so"
"R_1GIgvyEIsNm3kmc","JustS"," In my open time, at my house or college, where I can be in a peaceful place || Apply the knowledge that I achieve every class in my day immediately || Trying to use the lessons of the course to pass over the obstacles "
"R_1gIwhZTosN1UoB3","AmGov"," I have an schedule of 10 hours assigned for completing the lectures and the activities || The contents in this course are related to a course I am enrolled in my faculty "
"R_1GJHFgIyVOJxOyc","JustS"," Setting up a separate folder to store materials || Planning time each week to complete coursework || Letting others know I am doing the course and need not to be disturbed || Reviewing progress and amending plans as appropriate"
"R_1GJmNUxeQzYT23i","BioChem"," I will study every single night after my family goes to sleep to eliminate distractions. || I will relate knowledge I gained freshman year from the classes: PreAP biology, and Principles of health science. I will make sure I complete this course because I need the certificate whether physical or digital, and the knowledge will improve my performance at school and at work."
"R_1gMwxIrSEqZ8BAT","AmGov","My clan's lands and 3-7 hours a week. || I'll do it. I'll knock 'em out of the ring. "
"R_1GN8hu5Yy5cMy0r","AmGov","At home and on my phone || Read well Contact anyone and research more online "
"R_1goI3j5TgqaezqI","JustS","At home, on evenings and weekend || Dedicate certain hours of my free time to the coursework || I will be sure to prioritize the course as I would any course were I enrolled in school full time. "
"R_1gOywSr5ZAZ2hk6","BioChem"," STUDY FROM HOME || BRUSH UP ON UNIVERSITY CHEMISTRY || REASEARCH ONLINE OR REFERENCES || EVERY DAY FOR SOME HOURS "
"R_1GPsFZHduZrLQ6g","AmGov","STUDY FROM hours 11A-1PM, DAILY || STUDY AT A PREDESIGNED QUIET AREA AT HOME "
"R_1gqDL7HfncSnkMc","BioChem","I plan to study at home. || I will be studying after work and during my free time. || I will do a little bit every day. || I will ask questions and use the online community as a resource. "
